"site.no","station.name","LATITUDE","LONGITUDE","owner","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"10264","KENANDRA",-30.1564,117.82,"BOM",2021-05-18,38.7,12,26.7,322.5,222.5,9
"10286","CUNDERDIN AIRFIELD",-31.6233,117.2206,"BOM",2021-05-18,28,11.95,16.05,234.3,134.3,9
"10295","BALKULING NORTH",-31.9081,117.2322,"BOM",2021-05-18,45.3,15,30.3,302,202,10
"10311","YORK",-31.9008,116.7633,"BOM",2021-05-18,60,17.85,42.15,336.1,236.1,10
"10503","ARDATH",-32.0311,118.0925,"BOM",2021-05-18,57.7,11.2,46.5,515.2,415.2,10
"10505","ARTHUR RIVER COMP",-33.3442,117.0347,"BOM",2021-05-18,27.4,16.5,10.9,166.1,66.1,8
"10508","BADGEBUP",-33.6372,117.9258,"BOM",2021-05-18,44.3,12.55,31.75,353,253,10
"10510","BAROOGA",-33.1658,116.7978,"BOM",2021-05-18,29.5,17,12.5,173.5,73.5,7
"10515","BEVERLEY",-32.1083,116.9225,"BOM",2021-05-18,56,17.5,38.5,320,220,10
"10518","BOORALEE",-32.4028,118.6042,"BOM",2021-05-18,36.8,10.4,26.4,353.8,253.8,10
"10519","BORDEN POST OFFICE",-34.0733,118.2614,"BOM",2021-05-18,36.3,15.6,20.7,232.7,132.7,9
"10520","BOSCABEL",-33.6622,117.0525,"BOM",2021-05-18,48.7,20.6,28.1,236.4,136.4,10
"10524","BROOKTON",-32.3733,117.0047,"BOM",2021-05-18,52.2,16.05,36.15,325.2,225.2,10
"10525","BROOMEHILL POST OFFICE",-33.8478,117.6375,"BOM",2021-05-18,37.8,18.3,19.5,206.6,106.6,9
"10527","BULYEE",-32.38,117.51,"BOM",2021-05-18,65.4,13.3,52.1,491.7,391.7,10
"10528","BUNKIN",-33.2486,117.6597,"BOM",2021-05-18,49.4,14,35.4,352.9,252.9,10
"10530","CHAMINGUP",-33.9158,117.0981,"BOM",2021-05-18,66,24.8,41.2,266.1,166.1,10
"10531","CHERRY TREE",-33.6875,117.2047,"BOM",2021-05-18,26.5,17,9.5,155.9,55.9,7
"10534","COLORADO",-32.4839,117.5639,"BOM",2021-05-18,65.8,12.6,53.2,522.2,422.2,10
"10536","CORRIGIN",-32.3303,117.8717,"BOM",2021-05-18,61,10.7,50.3,570.1,470.1,10
"10537","CRANBROOK",-34.2956,117.5656,"BOM",2021-05-18,24,20.85,3.15,115.1,15.1,7
"10538","CUBALLING POST OFFICE",-32.82,117.1767,"BOM",2021-05-18,56.3,19.2,37.1,293.2,193.2,10
"10540","KENILWORTH TU",-32.4667,116.8,"BOM",2021-05-18,72.7,17.8,54.9,408.4,308.4,10
"10541","NYERILUP",-33.8614,118.8131,"BOM",2021-05-18,34.2,14.5,19.7,235.9,135.9,9
"10542","DARKAN POST OFFICE",-33.335,116.7411,"BOM",2021-05-18,40,18.1,21.9,221,121,8
"10544","DELLYANINE",-33.3967,117.0931,"BOM",2021-05-18,30.3,17.9,12.4,169.3,69.3,8
"10546","DUMBLEYUNG POST OFFICE",-33.3142,117.7361,"BOM",2021-05-18,39.9,16.1,23.8,247.8,147.8,10
"10558","GNOWANGERUP POST OFFICE",-33.9375,118.0064,"BOM",2021-05-18,38,16.1,21.9,236,136,9
"10560","GRAHAM ROCK",-32.5411,119.1108,"BOM",2021-05-18,54.3,9.8,44.5,554.1,454.1,10
"10561","RUSHY POOL",-33.0286,117.3867,"BOM",2021-05-18,58.8,15.8,43,372.2,272.2,10
"10565","HOLT ROCK",-32.6753,119.4125,"BOM",2021-05-18,58,11.05,46.95,524.9,424.9,10
"10566","KENINE HILL",-33.5717,117.2094,"BOM",2021-05-18,32,15.7,16.3,203.8,103.8,8
"10568","HYDEN",-32.4436,118.8967,"BOM",2021-05-18,54.9,11.2,43.7,490.2,390.2,10
"10576","KARLGARIN POST OFFICE",-32.5011,118.7097,"BOM",2021-05-18,44.1,9.35,34.75,471.7,371.7,10
"10581","KING ROCKS",-32.2908,119.1358,"BOM",2021-05-18,59.1,10.6,48.5,557.5,457.5,10
"10582","KOJONUP",-33.8389,117.1506,"BOM",2021-05-18,91.8,20.3,71.5,452.2,352.2,10
"10583","KONDININ POST OFFICE",-32.4956,118.2656,"BOM",2021-05-18,43,12.3,30.7,349.6,249.6,10
"10584","KULIN POST OFFICE",-32.6728,118.1536,"BOM",2021-05-18,51,11.9,39.1,428.6,328.6,10
"10593","LAKE KING POST OFFICE",-33.0878,119.6733,"BOM",2021-05-18,51.7,12,39.7,430.8,330.8,10
"10595","PINGRUP SOUTH",-33.6533,118.5508,"BOM",2021-05-18,39.5,13.2,26.3,299.2,199.2,10
"10606","LAKE CAMM",-32.9339,119.6133,"BOM",2021-05-18,51.9,10.7,41.2,485,385,10
"10611","TRURO",-33.2772,119.7736,"BOM",2021-05-18,45.6,11.1,34.5,410.8,310.8,10
"10612","NAREMBEEN",-32.0669,118.3942,"BOM",2021-05-18,29.6,11.85,17.75,249.8,149.8,9
"10614","NARROGIN",-32.9356,117.1783,"BOM",2021-05-18,47.6,19.4,28.2,245.4,145.4,10
"10619","NYABING POST OFFICE",-33.5431,118.1472,"BOM",2021-05-18,51.8,17.5,34.3,296,196,10
"10620","OAKLAND",-32.305,116.6347,"BOM",2021-05-18,67.1,18.3,48.8,366.7,266.7,10
"10622","ONGERUP",-33.9658,118.4875,"BOM",2021-05-18,33.5,15.15,18.35,221.1,121.1,9
"10625","PINGARING POST OFFICE",-32.755,118.6256,"BOM",2021-05-18,46.7,12.3,34.4,379.7,279.7,10
"10626","PINGELLY",-32.5353,117.0819,"BOM",2021-05-18,59.3,14.9,44.4,398,298,10
"10627","PINGRUP",-33.5353,118.5081,"BOM",2021-05-18,46.7,12.5,34.2,373.6,273.6,10
"10628","QUAIRADING POST OFFICE",-32.0108,117.3997,"BOM",2021-05-18,44.2,14.4,29.8,306.9,206.9,10
"10633","RAVENSTHORPE",-33.5814,120.0442,"BOM",2021-05-18,44.4,15.4,29,288.3,188.3,9
"10635","RIVERDALE",-33.7864,116.905,"BOM",2021-05-18,62.4,19,43.4,328.4,228.4,10
"10636","THE OAKS",-33.1583,117.6697,"BOM",2021-05-18,52.1,15.8,36.3,329.7,229.7,10
"10643","TAMBELLUP",-34.0456,117.6394,"BOM",2021-05-18,39.9,16.25,23.65,245.5,145.5,9
"10647","WAGIN",-33.3081,117.34,"BOM",2021-05-18,53.7,15.85,37.85,338.8,238.8,10
"10651","CLOUGHTON",-32.2925,116.6708,"BOM",2021-05-18,67.1,18.35,48.75,365.7,265.7,10
"10654","WICKEPIN",-32.7831,117.5025,"BOM",2021-05-18,78.4,16.4,62,478,378,10
"10655","WILLIAMS POST OFFICE",-33.0278,116.8786,"BOM",2021-05-18,28.5,20.35,8.15,140,40,7
"10657","YOUANMI",-33.325,117.9292,"BOM",2021-05-18,45.2,11.25,33.95,401.8,301.8,10
