"site.no","station.name","LATITUDE","LONGITUDE","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"9590","NORTHCLIFFE",-34.6353,116.1253,2002-10-31,946.6,NA,NA,NA,NA,5
"9592","PEMBERTON",-34.4494,116.0428,2002-10-31,927.9,NA,NA,NA,NA,6
"9594","PEPPERMINT GROVE",-34.4361,119.3619,2002-10-31,310.2,NA,NA,NA,NA,1
"9596","PINJARRA",-32.6278,115.8733,2002-10-31,726.6,NA,NA,NA,NA,7
"9599","BARRETT MEADOWS",-34.9808,117.6303,2002-10-31,608.4,NA,NA,NA,NA,3
"9600","ROSA BROOK",-33.9519,115.19,2002-10-31,860.9,NA,NA,NA,NA,5
"9603","BUSSELTON AERO",-33.6872,115.3994,2002-10-31,553.2,NA,NA,NA,NA,3
"9607","WHITE GUMS",-34.5486,117.9283,2002-10-31,240,NA,NA,NA,NA,2
"9611","WALPOLE",-34.9772,116.7311,2002-10-31,927,NA,NA,NA,NA,4
"9613","WARNER GLEN",-34.1447,115.2244,2002-10-31,693.2,NA,NA,NA,NA,2
"9614","WAROONA POST OFFICE",-32.8458,115.92,2002-10-31,711,NA,NA,NA,NA,5
"9616","WESTBOURNE",-34.0928,116.6603,2002-10-31,496,NA,NA,NA,NA,5
"9617","BRIDGETOWN",-33.9497,116.1278,2002-10-31,680,NA,NA,NA,NA,9
"9622","WOODPERRY",-33.6244,115.9339,2002-10-31,743.3,NA,NA,NA,NA,8
"9626","PLEASANT VALLEY",-33.7125,121.5597,2002-10-31,242.6,NA,NA,NA,NA,1
"9628","COLLIE",-33.3617,116.1456,2002-10-31,770.9,NA,NA,NA,NA,8
"9631","ESPERANCE DOWNS RESEARCH STN",-33.6058,121.7825,2002-10-31,204,NA,NA,NA,NA,1
"9633","TAMAR",-34.8633,118.1106,2002-10-31,412,NA,NA,NA,NA,2
"9635","FRANKLAND POST OFFICE",-34.365,117.0825,2002-10-31,360.2,NA,NA,NA,NA,3
"9636","COWARAMUP",-33.8269,115.0719,2002-10-31,766,NA,NA,NA,NA,2
"9642","WOKALUP",-33.1319,115.8806,2002-10-31,687.4,NA,NA,NA,NA,4
"9654","BREMER BAY",-34.4003,119.3758,2002-10-31,251.4,NA,NA,NA,NA,1
"9657","ROELANDS",-33.2972,115.7769,2002-10-31,657,NA,NA,NA,NA,6
"9673","BOKERUP",-34.2519,116.8753,2002-10-31,388.8,NA,NA,NA,NA,3
"9680","PORONGORUP",-34.6733,117.9,2002-10-31,406.8,NA,NA,NA,NA,1
"9738","MUJA POWER STATION",-33.4489,116.3069,2002-10-31,546.1,NA,NA,NA,NA,6
"9739","WELCOME DOWNS",-33.6528,122.3097,2002-10-31,298,NA,NA,NA,NA,2
"9741","ALBANY AIRPORT",-34.9431,117.8008,2002-10-31,496.6,NA,NA,NA,NA,3
"9746","WITCHCLIFFE",-34.0292,115.1028,2002-10-31,807.6,NA,NA,NA,NA,3
"9752","DENBARKER",-34.7247,117.3478,2002-10-31,477.6,NA,NA,NA,NA,2
"9754","METTLER",-34.5975,118.5506,2002-10-31,235.1,NA,NA,NA,NA,1
"9769","CULFORD",-32.5731,116.4333,2002-10-31,545.2,NA,NA,NA,NA,6
"9771","YOONGARILLUP",-33.7428,115.4683,2002-10-31,637.6,NA,NA,NA,NA,5
"9772","ERINAIR",-33.7619,121.2153,2002-10-31,212.4,NA,NA,NA,NA,1
"9784","KIMBERLEY",-34.9331,117.1589,2002-10-31,625,NA,NA,NA,NA,3
"9789","ESPERANCE",-33.8308,121.8908,2002-10-31,320.8,NA,NA,NA,NA,1
"9803","CHAPMAN HILL",-33.7842,115.3433,2002-10-31,559.7,NA,NA,NA,NA,3
"9813","MOUNT HOWICK",-33.7306,122.7542,2002-10-31,259.2,NA,NA,NA,NA,1
"9829","TALLANGATTA",-33.8911,120.3244,2002-10-31,155,NA,NA,NA,NA,1
"9835","BALINGDALE",-34.4042,118.9681,2002-10-31,188.5,NA,NA,NA,NA,1
"9842","JARRAHWOOD",-33.7986,115.6631,2002-10-31,796.6,NA,NA,NA,NA,6
"9848","WINDRUSH",-34.7733,118.1303,2002-10-31,344.7,NA,NA,NA,NA,1
"9867","LORINNA",-33.6522,122.0147,2002-10-31,208.8,NA,NA,NA,NA,1
"9871","WINDY HARBOUR",-34.8383,116.0278,2002-10-31,772,NA,NA,NA,NA,2
"9877","LUDLOW",-33.6036,115.4758,2002-10-31,562.4,NA,NA,NA,NA,5
"9908","ONE TREE BRIDGE (HAZELMERE)",-34.2292,115.9258,2002-10-31,786.4,NA,NA,NA,NA,4
"9914","VALERN",-33.3211,116.645,2002-10-31,464.6,NA,NA,NA,NA,6
"9922","WEST LORT RIVER",-33.6494,121.1958,2002-10-31,145.6,NA,NA,NA,NA,1
"9930","TAMARU",-34.8808,118.045,2002-10-31,409.9,NA,NA,NA,NA,3
"9961","HOPETOUN NORTH",-33.9319,120.1264,2002-10-31,152.6,NA,NA,NA,NA,1
"9964","ROCKY GULLY",-34.5725,117.0089,2002-10-31,484.1,NA,NA,NA,NA,2
"9965","BUNBURY",-33.3578,115.6433,2002-10-31,595.2,NA,NA,NA,NA,6
"9968","SHANNON",-34.5833,116.3444,2002-10-31,833,NA,NA,NA,NA,7
"9977","MANDURAH",-32.5219,115.7119,2002-10-31,504.2,NA,NA,NA,NA,2
"9994","COLLIE EAST",-33.3608,116.1717,2002-10-31,761.4,NA,NA,NA,NA,8
